Marker_1,Marker_2,Marker_3,Marker_4,Marker_5,Marker_6,Marker_7,Marker_8,Marker_9,Marker_10,GT,MV,DS,GLAD,MACE,n_annotators,WSI,ano,split
1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0001_row_12288_column_51200,CasoHEProstata_A_0001_row_12288_column_51200,train
-1,-1,-1,-1,0,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0001_row_14336_column_12288,CasoHEProstata_A_0001_row_14336_column_12288,train
-1,0,-1,-1,-1,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0001_row_16384_column_14336,CasoHEProstata_A_0001_row_16384_column_14336,train
-1,-1,-1,0,-1,0,3,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0001_row_18432_column_14336,CasoHEProstata_A_0001_row_18432_column_14336,train
-1,-1,-1,-1,-1,0,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0001_row_18432_column_55296,CasoHEProstata_A_0001_row_18432_column_55296,train
-1,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0001_row_30720_column_12288,CasoHEProstata_A_0001_row_30720_column_12288,train
-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0001_row_34816_column_120832,CasoHEProstata_A_0001_row_34816_column_120832,train
-1,-1,-1,-1,0,0,2,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0001_row_36864_column_16384,CasoHEProstata_A_0001_row_36864_column_16384,train
1,-1,-1,0,0,-1,1,-1,-1,-1,1,1,0,0,0,4,CasoHEProstata_A_0011_row_20480_column_16384,CasoHEProstata_A_0011_row_20480_column_16384,train
-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0011_row_22528_column_14336,CasoHEProstata_A_0011_row_22528_column_14336,train
